"row_id","itemid","label","fluid","category","loinc_code"
562,51362,"RBC, CSF","Cerebrospinal Fluid (CSF)","Hematology","26454-9"
566,51366,"Bands","Joint Fluid","Hematology","33361-7"
577,51377,"Mesothelial Cells","Joint Fluid","Hematology","33365-8"
581,51381,"Other","Joint Fluid","Hematology",NULL
582,51382,"Polys","Joint Fluid","Hematology","26522-3"
583,51383,"RBC, Joint Fluid","Joint Fluid","Hematology","26458-0"
584,51384,"WBC, Joint Fluid","Joint Fluid","Hematology","26469-7"
585,51385,"Atypical Lymphocytes","Other Body Fluid","Hematology","30417-0"
586,51386,"Bands","Other Body Fluid","Hematology","26510-8"
587,51387,"Basophils","Other Body Fluid","Hematology","28543-7"
619,51419,"Eosinophils","Other Body Fluid","Hematology","26452-3"
622,51422,"Hematocrit, Other Fluid","Other Body Fluid","Hematology","11153-4"
627,51427,"Lymphocytes","Other Body Fluid","Hematology","11031-2"
628,51428,"Macrophage","Other Body Fluid","Hematology","12230-9"
629,51429,"Mesothelial cells","Other Body Fluid","Hematology","28544-5"
631,51431,"Monos","Other Body Fluid","Hematology","10330-9"
633,51433,"NRBC","Other Body Fluid","Hematology",NULL
634,51434,"Other Cell","Other Body Fluid","Hematology",NULL
636,51436,"Polys","Other Body Fluid","Hematology","26518-1"
638,51438,"RBC, Other Fluid","Other Body Fluid","Hematology","26455-6"
639,51439,"WBC, Other Fluid","Other Body Fluid","Hematology","26466-3"
640,51440,"Atypical Lymphocytes","Pleural","Hematology","33370-8"
641,51441,"Bands","Pleural","Hematology",NULL
644,51444,"Eosinophils","Pleural","Hematology","30379-2"
645,51445,"Hematocrit, Pleural","Pleural","Hematology",NULL
646,51446,"Lymphocytes","Pleural","Hematology","26481-2"
647,51447,"Macrophages","Pleural","Hematology","40520-9"
648,51448,"Mesothelial Cells","Pleural","Hematology","30431-1"
650,51450,"Monos","Pleural","Hematology","33362-5"
652,51452,"NRBC","Pleural","Hematology",NULL
653,51453,"Other","Pleural","Hematology",NULL
654,51454,"Plasma Cells","Pleural","Hematology","40522-5"
655,51455,"Polys","Pleural","Hematology","26519-9"
657,51457,"RBC, Pleural","Pleural","Hematology","26456-4"
658,51458,"WBC, Pleural","Pleural","Hematology","26467-1"
667,51467,"Broad Casts","Urine","Hematology","18487-9"
671,51471,"Cellular Cast","Urine","Hematology",NULL
4,50803,"Calculated Bicarbonate, Whole Blood","Blood","Blood Gas","1959-6"
5,50804,"Calculated Total CO2","Blood","Blood Gas","34728-6"
6,50805,"Carboxyhemoglobin","Blood","Blood Gas","20563-3"
7,50806,"Chloride, Whole Blood","Blood","Blood Gas","2069-3"
9,50808,"Free Calcium","Blood","Blood Gas","1994-3"
10,50809,"Glucose","Blood","Blood Gas","2339-0"
12,50811,"Hemoglobin","Blood","Blood Gas","718-7"
14,50813,"Lactate","Blood","Blood Gas","32693-4"
15,50814,"Methemoglobin","Blood","Blood Gas","2614-6"
19,50818,"pCO2","Blood","Blood Gas","11557-6"
21,50820,"pH","Blood","Blood Gas","11558-4"
22,50821,"pO2","Blood","Blood Gas","11556-8"
23,50822,"Potassium, Whole Blood","Blood","Blood Gas","6298-4"
25,50824,"Sodium, Whole Blood","Blood","Blood Gas","2947-0"
53,50852,"% Hemoglobin A1c","Blood","Chemistry","4548-4"
57,50856,"Acetaminophen","Blood","Chemistry","3297-9"
62,50861,"Alanine Aminotransferase (ALT)","Blood","Chemistry","1742-6"
63,50862,"Albumin","Blood","Chemistry","1751-7"
